province_name,constituency,vote_track,voters_came,good_votes,invalid_votes,no_votes
นราธิวาส,1,party_list,99498,91272,5929,2297
นราธิวาส,2,party_list,77970,70908,4933,2129
นราธิวาส,3,party_list,82911,77064,4914,933
นราธิวาส,4,party_list,86855,81154,4674,1027
นราธิวาส,5,party_list,93603,86796,5493,1314
กรุงเทพมหานคร,1,constituency,82421,77075,1146,4200
กรุงเทพมหานคร,2,constituency,90181,83874,1384,4923
กรุงเทพมหานคร,3,constituency,82361,76775,1425,4161
กรุงเทพมหานคร,4,constituency,82948,77982,1472,3493
กรุงเทพมหานคร,5,constituency,96561,90792,1289,4480
กรุงเทพมหานคร,6,constituency,100871,94391,1412,5068
กรุงเทพมหานคร,7,constituency,92497,85181,1649,5667
กรุงเทพมหานคร,8,constituency,104633,96755,1622,6256
กรุงเทพมหานคร,9,constituency,102720,95111,1599,6010
กรุงเทพมหานคร,10,constituency,99657,91913,1521,6223
กรุงเทพมหานคร,11,constituency,100367,94993,1207,4167
กรุงเทพมหานคร,12,constituency,111029,103439,1601,5989
กรุงเทพมหานคร,13,constituency,97065,90508,1315,5242
กรุงเทพมหานคร,14,constituency,99223,93467,1431,4325
กรุงเทพมหานคร,15,constituency,92122,85901,1329,4892
กรุงเทพมหานคร,16,constituency,100557,94218,1438,4901
กรุงเทพมหานคร,17,constituency,79075,71720,1965,5390
กรุงเทพมหานคร,18,constituency,87055,80204,1421,5430
กรุงเทพมหานคร,19,constituency,98920,92191,1634,5095
กรุงเทพมหานคร,20,constituency,87486,81935,1769,3782
กรุงเทพมหานคร,21,constituency,96860,91346,1450,4063
กรุงเทพมหานคร,22,constituency,92301,85558,1511,5232
กรุงเทพมหานคร,23,constituency,100477,94233,1073,5171
กรุงเทพมหานคร,24,constituency,96919,89356,1902,5661
กรุงเทพมหานคร,25,constituency,89687,84112,1443,4132
กรุงเทพมหานคร,26,constituency,97121,90037,1820,5264
กรุงเทพมหานคร,27,constituency,96276,90381,1564,4331
กรุงเทพมหานคร,28,constituency,99509,91560,2003,5946
กรุงเทพมหานคร,29,constituency,103966,96248,1896,5822
กรุงเทพมหานคร,30,constituency,99352,92533,1464,5355
กรุงเทพมหานคร,31,constituency,107547,98491,1993,6963
กรุงเทพมหานคร,32,constituency,93917,85631,2233,6053
